Name,Overall,Potential,InternationalReputation,Skill,WorkRate,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Stamina,Strength,LongShots,Aggression,Interceptions,Penalties,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Position
S. Gnabry,82,88,2,4,99,85,58,64,78,62,84,83,75,83,91,91,78,80,89,66,66,73,77,46,79,79,6,9,15,14,14,3
J. Pickford,81,88,3,4,99,58,88,78,63,76,74,71,62,78,69,74,68,85,73,78,82,67,36,79,34,32,9,16,16,15,6,1
L. Hernández,83,88,1,1,99,17,19,15,55,20,14,18,55,40,53,44,55,31,45,70,13,30,24,41,20,12,83,78,88,81,86,4
C. Lenglet,88,88,3,1,99,12,10,10,36,12,12,12,34,16,51,55,47,22,41,71,19,25,22,23,10,13,87,86,69,89,89,4
J. Brandt,83,88,2,2,99,35,20,80,74,24,55,30,69,64,64,77,48,44,63,93,25,76,80,38,88,84,11,8,7,9,14,3
João Cancelo,81,88,1,4,99,74,68,41,83,62,85,73,80,85,73,67,82,64,75,62,71,76,76,55,75,74,12,15,16,7,13,2
T. Partey,82,88,1,3,66,78,42,83,80,38,65,53,63,79,80,84,70,62,82,76,47,86,81,34,83,86,10,7,8,14,10,3
Dani Ceballos,82,88,1,3,99,58,63,68,85,53,78,62,79,81,73,76,72,79,87,81,75,76,79,46,83,80,11,13,9,9,7,2
A. Christensen,82,88,2,4,99,77,78,42,82,66,87,72,69,85,78,84,82,80,73,69,78,42,29,54,20,24,11,16,11,8,9,2
P. Zieli?ski,82,88,1,2,66,36,23,78,78,24,60,25,69,76,72,73,62,58,73,80,35,80,82,43,82,81,10,10,9,12,7,3
A. Milik,83,88,2,3,99,67,75,82,84,62,77,66,86,81,75,66,75,82,87,77,81,81,76,70,78,71,7,10,14,9,14,2
Odriozola,83,88,3,3,99,75,72,75,84,68,81,76,79,83,84,79,76,77,86,70,78,80,83,60,79,78,13,8,15,11,9,2
F. Kessié,83,88,2,4,99,74,81,46,79,83,87,64,68,83,92,90,87,85,68,68,81,63,38,68,48,45,14,10,10,9,7,1
T. Alexander-Arnold,84,88,2,2,66,36,40,80,77,28,63,30,67,73,72,79,60,66,76,83,44,87,82,44,85,88,9,7,10,6,15,3
D. Calabria,84,88,2,2,99,58,45,85,76,40,59,61,78,73,62,66,45,68,67,82,47,75,85,44,86,87,10,11,5,14,5,3
J. Gomez,88,88,4,1,99,13,10,10,50,11,10,11,50,34,65,62,55,23,41,43,14,31,27,40,10,18,88,84,68,83,92,4
D. Upamecano,83,88,2,4,99,62,74,42,88,71,88,64,78,88,78,60,89,76,82,58,73,78,75,58,62,61,7,14,15,14,9,2
A. ?ori?,84,88,3,3,99,79,66,75,83,47,76,71,78,82,69,72,69,78,92,79,65,85,84,91,86,84,13,12,6,8,8,2
A. Lunin,85,88,3,3,99,90,66,74,85,61,80,81,80,85,78,68,84,75,85,65,69,74,79,44,81,79,8,15,7,15,15,2
R. Sessegnon,84,88,2,2,66,47,37,81,68,30,47,36,58,56,69,70,56,72,67,85,48,89,85,38,86,87,9,11,7,10,15,3
P. Foden,88,88,4,3,99,64,55,87,81,60,68,65,85,81,53,64,63,71,66,84,51,69,92,68,90,88,15,6,10,5,6,3
E. Barco,84,88,2,4,99,84,73,58,85,84,83,85,82,85,79,76,77,87,89,67,88,65,70,81,66,53,12,14,15,8,14,2
João Félix,86,88,3,2,99,53,52,82,76,45,70,60,78,73,74,77,61,81,71,92,64,81,86,62,89,84,13,10,13,11,11,3
B. Kamara,88,88,4,5,99,90,70,75,84,54,90,85,76,92,83,82,86,83,91,78,70,84,85,59,85,86,12,5,5,5,9,3
Kangin Lee,88,88,3,4,99,86,77,56,85,74,90,87,78,93,94,86,94,75,75,44,84,34,26,61,24,22,8,4,14,9,10,2
J. Arp,88,88,3,4,99,77,88,79,77,86,79,80,64,82,93,95,76,82,76,76,79,43,48,76,25,36,6,9,15,9,9,2
P. Pellegri,88,88,4,4,99,87,86,84,85,85,87,90,80,85,94,95,82,92,75,80,91,65,59,76,55,52,15,15,11,5,6,1
K. Navas,67,87,1,2,99,33,26,69,55,35,36,37,42,45,52,55,42,49,55,63,25,64,60,47,74,68,11,5,9,11,12,3
C. Immobile,79,87,2,4,99,59,82,77,69,79,77,69,58,79,77,83,77,76,77,74,60,76,55,80,40,35,14,13,7,11,8,1
Jordi Alba,68,87,1,3,99,65,64,43,75,64,74,74,67,71,74,68,82,66,51,36,62,39,28,60,37,38,11,7,9,11,10,2
D. Mertens,66,87,1,3,99,56,56,39,65,53,69,64,59,68,76,72,82,58,47,29,62,44,32,55,31,28,14,13,8,9,9,2
J. Vertonghen,67,87,1,4,99,61,61,51,67,57,68,65,65,68,75,69,83,61,57,32,64,42,37,66,38,35,14,15,14,6,14,2
M. Hamšík,70,87,1,4,99,62,60,53,69,52,77,63,63,72,86,84,84,60,57,69,57,50,23,55,33,36,14,13,11,15,5,2
I. Rakiti?,72,87,1,4,99,62,64,51,64,55,76,64,51,73,92,93,84,71,76,69,63,68,52,60,61,51,11,11,6,5,14,2
Piqué,72,87,1,3,99,42,75,65,59,64,73,62,38,74,75,79,75,71,69,73,58,45,21,65,28,16,13,8,10,7,9,1
S. Mané,76,87,1,3,66,61,34,73,80,48,76,64,76,76,75,77,68,75,80,88,55,67,78,46,72,61,14,9,10,8,10,2
Roberto Firmino,75,87,1,3,99,45,74,78,60,75,67,57,52,73,70,79,67,78,66,79,63,55,25,68,24,38,6,10,9,12,11,1
T. Alderweireld,74,87,1,2,99,24,30,75,65,32,48,35,54,63,61,60,52,59,73,75,38,80,72,38,77,75,7,5,10,8,10,3
D. Alaba,75,87,1,4,99,70,65,57,68,65,81,76,55,77,87,86,88,69,71,68,67,56,23,63,35,28,12,6,9,15,8,2
K. Manolas,76,87,1,3,66,66,59,42,80,44,71,66,75,76,60,60,67,43,77,66,65,69,75,55,76,74,12,11,11,10,8,2
W. Szcz?sny,77,87,2,3,66,64,39,59,82,46,76,62,76,80,68,70,78,66,84,70,56,82,77,52,76,72,11,14,5,11,11,2
Alex Telles,77,87,1,3,99,80,71,58,72,69,82,80,65,81,83,80,84,80,61,54,80,27,29,64,33,30,9,13,7,9,8,2
Jorginho,76,87,1,4,99,68,69,44,69,68,79,66,59,77,94,93,79,75,72,66,66,53,17,58,16,21,14,13,7,6,9,2
F. Thauvin,78,87,2,4,99,70,70,50,75,68,83,74,60,80,86,84,86,81,78,64,78,62,30,62,34,34,6,7,8,9,7,2
Carvajal,78,87,1,2,66,72,48,75,67,34,68,58,58,70,77,78,75,62,85,76,42,83,74,60,82,78,11,8,15,12,15,3
B. Leno,78,87,2,4,99,76,73,57,78,78,76,84,78,81,52,53,67,88,73,69,86,70,71,76,72,69,6,8,10,14,12,2
K. Coman,79,87,3,4,99,69,67,46,77,70,87,69,56,82,93,88,87,79,74,52,58,45,32,61,30,41,8,12,13,16,14,2
T. Werner,79,87,1,3,99,56,39,61,84,44,68,45,81,78,61,59,58,58,75,72,56,65,80,53,79,72,13,6,6,11,15,2
A. Rabiot,83,87,2,1,99,19,13,14,35,14,20,12,32,22,45,51,50,22,31,67,17,41,22,21,13,12,83,80,83,82,86,4
J. Stones,81,87,2,2,66,51,36,75,78,40,67,42,76,75,72,86,69,58,76,84,45,75,79,40,84,80,10,9,13,6,9,3
T. Horn,81,87,2,2,66,51,33,79,70,42,60,46,56,65,68,79,65,55,72,85,48,87,81,46,82,83,14,14,10,9,8,3
Rodri,80,87,2,3,99,75,61,51,84,74,73,79,85,80,64,64,65,83,78,70,83,82,75,62,74,69,16,12,10,8,10,2
Gelson Martins,81,87,3,3,99,83,50,65,79,58,83,85,78,82,85,83,85,78,83,63,72,68,80,51,78,79,7,13,10,7,13,3
L. Torreira,82,87,1,1,99,24,19,15,38,17,18,23,41,16,45,52,40,21,42,52,18,39,16,25,20,11,81,82,79,83,81,4
Pau López,80,87,1,4,99,80,74,56,84,66,79,69,79,82,75,77,75,77,78,65,73,49,68,73,65,56,6,14,7,13,11,2
A. Robertson,80,87,1,3,99,81,78,44,80,64,84,69,73,85,72,75,70,73,71,59,79,40,29,52,32,30,10,6,10,13,11,2
F. Bernardeschi,82,87,1,3,99,86,57,63,76,32,76,74,68,78,81,86,78,67,89,66,60,78,80,55,81,78,11,8,10,7,14,3
A. Belotti,82,87,2,3,66,74,50,55,83,65,78,66,77,81,81,74,83,78,85,66,74,85,87,48,84,75,5,5,13,7,9,2
Rafinha,82,87,2,5,99,82,70,50,82,74,86,82,72,87,83,83,85,82,80,63,82,52,66,72,46,42,14,15,10,13,12,2
M. Akanji,84,87,3,1,99,9,9,13,45,10,16,9,40,22,46,52,52,23,43,68,14,28,22,23,15,18,84,82,75,85,82,4
E. Bailly,82,87,3,3,99,42,88,84,68,80,78,64,42,75,78,79,79,81,83,84,67,83,31,77,23,32,13,7,12,14,7,1
Williams,83,87,2,3,99,62,29,83,81,27,69,47,74,80,67,71,61,46,79,77,38,79,81,44,85,82,7,15,11,10,8,3
A. Correa,81,87,1,4,99,74,82,67,73,79,87,82,65,87,87,82,87,80,74,63,83,41,48,55,53,44,13,10,9,8,16,2
Grimaldo,85,87,3,1,99,12,12,16,32,14,11,16,36,22,51,47,55,15,45,65,14,40,15,18,13,12,85,81,71,85,87,4
Carlos Soler,81,87,2,4,99,78,77,70,79,68,82,49,66,81,92,94,80,85,75,85,78,66,21,64,38,31,14,15,14,10,13,2
Oyarzabal,83,87,2,5,99,81,76,52,77,77,88,84,63,83,95,93,87,77,76,61,73,36,23,70,17,15,5,3,5,3,5,2
Rúben Neves,83,87,3,3,99,69,87,76,77,82,83,62,55,84,93,93,81,74,83,59,67,63,37,72,20,19,9,9,8,15,9,2
André Silva,82,87,1,4,66,63,64,75,83,59,77,65,80,82,70,66,69,70,86,75,76,63,80,46,80,74,10,10,7,14,8,2
C. Pulisic,87,87,3,1,99,11,15,11,30,11,16,11,37,19,54,53,60,21,39,75,13,32,20,25,14,14,90,81,75,82,90,4
Marcos Llorente,82,87,3,5,99,81,66,51,78,74,85,82,55,83,95,94,94,72,87,48,69,60,43,66,46,36,12,9,7,6,9,2
Éder Militão,82,87,2,4,99,72,73,55,86,76,87,75,76,84,71,70,80,79,67,66,82,44,70,67,74,66,11,6,15,13,7,2
F. Chiesa,87,87,3,3,99,68,56,80,79,52,71,58,74,76,61,65,61,80,75,79,66,84,89,66,87,88,6,10,9,12,7,3
Y. Tielemans,83,87,2,3,99,70,69,77,85,72,79,73,83,83,73,74,79,80,82,80,79,76,80,69,81,75,9,12,9,7,15,2
C. Ünder,85,87,4,3,99,81,63,75,82,68,79,78,80,83,79,86,79,83,87,71,82,69,84,80,82,80,5,7,14,15,9,3
A. Diawara,84,87,3,3,99,89,65,74,83,67,82,87,86,82,84,85,73,80,92,68,75,78,80,68,81,79,13,8,12,11,14,3
I. Sarr,85,87,3,2,66,27,10,80,60,16,54,30,61,65,80,85,68,40,76,82,12,86,86,26,87,89,8,6,8,15,12,3
Marc Roca,84,87,3,3,99,83,41,70,81,34,76,72,71,83,79,84,81,64,84,74,36,81,83,45,83,85,13,13,15,9,15,3
S. Berge,87,87,4,2,99,57,64,83,81,57,59,58,80,78,49,60,58,62,65,83,51,72,88,69,86,84,10,11,14,15,8,3
Felipe Vizeu,84,87,2,3,99,75,57,56,89,71,82,75,87,85,75,69,80,71,79,66,62,79,78,84,78,70,14,7,13,14,8,2
Jovane Cabral,86,87,3,2,99,64,45,82,79,38,62,63,85,74,61,66,60,78,74,79,65,80,87,58,91,86,16,6,14,16,14,3
Diogo Leite,87,87,3,4,99,77,86,35,82,70,91,82,74,89,93,85,94,80,75,42,81,59,36,79,40,40,7,10,8,10,4,1
M. Kean,84,87,2,4,99,83,81,75,83,74,85,86,76,86,87,80,86,83,83,66,82,56,42,74,29,31,8,11,14,10,9,2
A. Davies,87,87,3,3,99,87,73,70,84,60,80,80,74,84,93,93,90,64,91,61,66,75,84,59,84,85,13,15,13,6,13,3
C. Hudson-Odoi,87,87,3,3,99,78,79,74,88,79,86,80,83,87,69,68,76,82,84,67,83,56,72,70,73,62,8,6,4,14,14,2
Sergio Gómez,87,87,3,3,99,55,90,81,74,87,83,70,49,83,78,85,77,86,80,76,80,77,40,78,33,32,6,8,15,12,6,1
A. Bastoni,87,87,4,3,99,84,83,58,87,80,84,88,90,87,66,59,72,84,84,66,90,67,75,82,74,70,14,11,12,5,9,2
A. Gomes,86,87,3,4,99,73,84,62,79,71,87,74,71,86,95,93,91,82,84,67,74,73,35,71,42,38,10,10,15,7,14,2
